iter	Passed	Remaining
296	41835	24368
297	41973	24226
298	42116	24086
299	42255	23944
300	42394	23802
301	42538	23663
302	42680	23523
303	42820	23382
304	42963	23242
305	43097	23097
306	43240	22958
307	43381	22817
308	43524	22677
309	43655	22531
310	43787	22386
311	43932	22247
312	44080	22110
313	44220	21969
314	44367	21831
315	44504	21688
316	44639	21545
317	44773	21401
318	44908	21257
319	45056	21120
320	45194	20978
321	45322	20831
322	45453	20686
323	45588	20543
324	45731	20403
325	45882	20266
326	46025	20127
327	46177	19991
328	46321	19851
329	46458	19709
330	46599	19569
331	46740	19428
332	46877	19286
333	47023	19147
334	47173	19010
335	47318	18871
336	47456	18729
337	47598	18588
338	47743	18449
339	47877	18305
340	48022	18166
341	48160	18025
342	48305	17885
343	48437	17741
344	48576	17600
345	48721	17460
346	48867	17321
347	49013	17182
348	49145	17039
349	49291	16899
350	49434	16759
351	49578	16619
352	49711	16476
353	49855	16336
354	50001	16197
355	50134	16054
356	50273	15912
357	50418	15773
358	50555	15631
359	50698	15491
360	50842	15351
361	50990	15212
362	51133	15072
363	51277	14932
364	51420	14792
365	51567	14653
366	51707	14511
367	51850	14371
368	51995	14231
369	52137	14091
370	52281	13951
371	52430	13812
372	52572	13671
373	52721	13532
374	52867	13393
375	53012	13253
376	53213	13126
377	53359	12986
378	53501	12846
379	53644	12705
380	53785	12564
381	53932	12424
382	54073	12283
383	54214	12141
384	54355	12000
385	54504	11860
386	54645	11719
387	54789	11579
388	54935	11439
389	55075	11297
390	55221	11157
391	55366	11016
392	55511	10876
393	55656	10735
394	55802	10595
395	55949	10455
396	56092	10314
397	56228	10172
398	56366	10030
399	56506	9888
400	56653	9748
401	56796	9607
402	56938	9466
403	57069	9323
404	57211	9182
405	57352	9040
406	57499	8900
407	57649	8760
408	57799	8620
409	57947	8480
410	58092	8339
411	58239	8198
412	58386	8058
413	58529	7917
414	58671	7775
415	58810	7634
416	58952	7492
417	59088	7350
418	59230	7209
419	59369	7067
420	59509	6926
421	59650	6784
422	59793	6643
423	59930	6501
424	60070	6360
425	60210	6218
426	60351	6077
427	60488	5935
428	60628	5794
429	60768	5652
430	60904	5511
431	61047	5369
432	61183	5228
433	61328	5087
434	61459	4945
435	61597	4803
436	61738	4662
437	61877	4520
438	62016	4379
439	62153	4237
440	62296	4096
441	62426	3954
442	62567	3813
443	62710	3672
444	62851	3530
445	62990	3389
446	63130	3248
447	63265	3106
448	63401	2965
449	63549	2824
450	63691	2683
451	63833	2542
452	63971	2400
453	64110	2259
454	64250	2118
455	64385	1976
456	64525	1835
457	64669	1694
458	64811	1553
459	64951	1411
460	65092	1270
461	65235	1129
462	65369	988
463	65513	847
464	65659	706
465	65812	564
466	65959	423
467	66106	282
468	66251	141
469	66393	0
